step,init_q,running_discounted_reward,running_reward,running_time
0,10.0,0.0,0.0,0.0
100,10.0,0.0,0.0,0.0
200,10.0,-117.36770629882812,-130.47750854492188,10.100000381469727
300,-2.191574811935425,-231.6202392578125,-256.4331359863281,19.4950008392334
400,-2.191574811935425,-328.12115478515625,-360.3453369140625,27.570249557495117
500,-2.191574811935425,-429.7758483886719,-471.809326171875,35.89173889160156
600,-4.90081262588501,-524.8201904296875,-575.1996459960938,43.69715118408203
700,145.59962463378906,-612.1802368164062,-671.9193725585938,51.41229248046875
800,207.5767822265625,-686.440673828125,-753.8067016601562,58.04167938232422
900,207.5767822265625,-755.2398681640625,-829.8436889648438,65.38959503173828
1000,216.90406799316406,-830.2705688476562,-913.576904296875,72.9701156616211
1100,227.08871459960938,-891.1370239257812,-980.6279296875,78.97161102294922
1200,227.08871459960938,-960.4025268554688,-1057.3226318359375,85.57302856445312
1300,233.0271759033203,-1031.895263671875,-1136.435791015625,91.29438018798828
1400,234.27032470703125,-1096.922119140625,-1208.3436279296875,96.67965698242188
1500,234.27032470703125,-1152.3770751953125,-1269.1597900390625,100.99567413330078
1600,234.27032470703125,-1192.9678955078125,-1313.6785888671875,106.44589233398438
1700,244.95021057128906,-1249.4326171875,-1375.974609375,111.12359619140625
1800,246.64822387695312,-1283.887451171875,-1415.6522216796875,116.16741943359375
1900,246.71194458007812,-1329.58642578125,-1466.3448486328125,121.05904388427734
2000,246.71194458007812,-1363.3106689453125,-1502.5087890625,124.60609436035156
2100,247.45806884765625,-1393.795654296875,-1536.3646240234375,128.07579040527344
2200,247.7031707763672,-1426.1353759765625,-1572.77734375,131.4219970703125
2300,247.7031707763672,-1455.53515625,-1606.618408203125,134.8509063720703
2400,247.7068328857422,-1475.7315673828125,-1627.7655029296875,138.308349609375
2500,247.70828247070312,-1510.6717529296875,-1667.85400390625,142.0929412841797
2600,247.70835876464844,-1533.4454345703125,-1692.1947021484375,144.43829345703125
2700,247.7083740234375,-1552.0025634765625,-1713.8138427734375,147.3663787841797
2800,247.7083740234375,-1574.910400390625,-1739.607421875,149.19805908203125
2900,247.70838928222656,-1607.7252197265625,-1775.8551025390625,151.9881591796875
3000,247.70838928222656,-1623.8133544921875,-1793.5426025390625,154.18875122070312
3100,247.70838928222656,-1653.2403564453125,-1826.0938720703125,156.72930908203125
3200,247.70838928222656,-1678.8563232421875,-1852.776611328125,157.39283752441406
3300,247.70838928222656,-1692.4757080078125,-1868.1173095703125,159.62319946289062
3400,247.70838928222656,-1713.2889404296875,-1891.1954345703125,160.842041015625
3500,247.70838928222656,-1729.0587158203125,-1908.8651123046875,162.74993896484375
3600,247.70838928222656,-1707.821533203125,-1882.4063720703125,162.86244201660156
3700,247.70838928222656,-1727.9532470703125,-1904.27197265625,163.61932373046875
3800,247.70838928222656,-1741.156982421875,-1919.289306640625,165.3883514404297
3900,247.70838928222656,-1749.8394775390625,-1930.552490234375,167.46893310546875
4000,247.70838928222656,-1765.4351806640625,-1947.2589111328125,168.2454833984375
4100,247.70838928222656,-1673.61279296875,-1845.3900146484375,163.08322143554688
4200,247.70838928222656,-1704.870849609375,-1880.102783203125,164.529052734375
4300,247.70838928222656,-1715.7730712890625,-1893.57861328125,166.10260009765625
4400,247.70838928222656,-1729.693603515625,-1911.13037109375,167.54747009277344
4500,247.70838928222656,-1741.541015625,-1925.5557861328125,168.67010498046875
4600,247.70838928222656,-1749.76904296875,-1933.7564697265625,170.4365997314453
4700,247.70838928222656,-1776.760009765625,-1963.5458984375,172.41476440429688
4800,247.70838928222656,-1783.25341796875,-1971.5968017578125,173.94403076171875
4900,247.70838928222656,-1787.6707763671875,-1977.4984130859375,175.0468292236328
5000,247.70838928222656,-1798.0460205078125,-1989.605712890625,175.7944793701172
5100,247.70838928222656,-1731.556884765625,-1912.3326416015625,172.17701721191406
5200,247.70838928222656,-1747.8634033203125,-1931.448974609375,172.81817626953125
5300,247.70838928222656,-1778.6927490234375,-1964.3585205078125,173.67726135253906
5400,247.70838928222656,-1791.078369140625,-1977.8719482421875,174.64340209960938
5500,247.70838928222656,-1798.1834716796875,-1986.7066650390625,176.36122131347656
5600,247.70838928222656,-1822.204833984375,-2013.3511962890625,177.5431671142578
5700,247.70838928222656,-1824.4022216796875,-2017.162109375,178.8660125732422
5800,247.70838928222656,-1845.0313720703125,-2041.0338134765625,180.0727081298828
5900,247.70838928222656,-1851.2056884765625,-2048.962646484375,180.76907348632812
6000,247.70838928222656,-1855.9180908203125,-2052.245361328125,181.78062438964844
6100,247.70838928222656,-1796.2408447265625,-1983.3685302734375,179.14158630371094
6200,247.70838928222656,-1806.084716796875,-1994.4334716796875,179.53451538085938
6300,247.70838928222656,-1812.9473876953125,-2002.439697265625,181.00778198242188
6400,262.8056640625,-1776.8922119140625,-1958.319091796875,179.51953125
6500,272.5263366699219,-1700.735595703125,-1872.3941650390625,175.0935516357422
6600,382.8272399902344,-1622.5421142578125,-1787.693603515625,171.32443237304688
6700,394.554443359375,-1638.5032958984375,-1805.5408935546875,172.30821228027344
6800,430.1390380859375,-1672.988525390625,-1843.4912109375,174.14279174804688
6900,550.9249267578125,-1701.92529296875,-1876.54150390625,176.28565979003906
7000,554.944091796875,-1711.2401123046875,-1886.9415283203125,178.02137756347656
7100,561.3048095703125,-1738.4112548828125,-1917.5711669921875,179.72030639648438
7200,572.333984375,-1754.0067138671875,-1933.67236328125,180.43429565429688
7300,573.7275390625,-1764.2205810546875,-1944.22021484375,181.36257934570312
7400,578.798828125,-1774.235595703125,-1954.4871826171875,182.69444274902344
7500,590.7906494140625,-1759.927978515625,-1936.490966796875,183.7597198486328
7600,590.7906494140625,-1773.2525634765625,-1952.1448974609375,184.5717315673828
7700,608.6375122070312,-1755.9935302734375,-1929.7685546875,184.99314880371094
7800,620.7135009765625,-1735.5726318359375,-1904.7628173828125,184.49349975585938
7900,626.2559814453125,-1741.85595703125,-1913.502685546875,185.56881713867188
8000,626.2559814453125,-1716.528564453125,-1884.0596923828125,185.3403778076172
8100,630.043212890625,-1635.0325927734375,-1789.79736328125,181.8271942138672
8200,635.9708251953125,-1645.7459716796875,-1802.284912109375,183.4358367919922
8300,636.9404907226562,-1579.6279296875,-1728.4130859375,178.86404418945312
8400,637.6357421875,-1488.874755859375,-1623.8585205078125,172.8697967529297
8500,637.6357421875,-1444.9364013671875,-1573.9014892578125,170.62631225585938
8600,637.7245483398438,-1475.176025390625,-1608.68798828125,171.6949920654297
8700,637.7245483398438,-1462.4130859375,-1591.4854736328125,171.96023559570312
8800,638.4151611328125,-1498.2606201171875,-1632.8865966796875,173.9622344970703
8900,638.6260375976562,-1442.27880859375,-1568.6026611328125,171.58091735839844
9000,638.6500244140625,-1440.681884765625,-1565.6529541015625,172.90187072753906
9100,638.6616821289062,-1471.5765380859375,-1599.35107421875,174.15676879882812
9200,638.6686401367188,-1491.2904052734375,-1621.1126708984375,175.6989288330078
9300,638.668701171875,-1445.7918701171875,-1568.794189453125,172.9639892578125
