step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
100,0.0,0.0,0.0,10.0,0.0,0.0,0.0
200,-706.7056274414062,-894.8671875,496.0,10.0,-35.33528137207031,-44.74336242675781,24.799999237060547
300,-734.504638671875,-954.6406860351562,556.0,10.0,-70.29374694824219,-90.23822784423828,51.36000061035156
400,-732.1333618164062,-948.6696166992188,550.0,10.0,-103.38572692871094,-133.15980529785156,76.29199981689453
500,-724.4857788085938,-927.7344970703125,529.0,10.0,-134.44073486328125,-172.88853454589844,98.92739868164062
600,-753.8677978515625,-992.5039672851562,594.0,10.0,-165.41207885742188,-213.8693084716797,123.6810302734375
700,-742.0245971679688,-970.6067504882812,572.0,10.0,-194.24270629882812,-251.7061767578125,146.09698486328125
800,-744.3470458984375,-972.5480346679688,574.0,10.0,-221.7479248046875,-287.7482604980469,167.49212646484375
900,-729.7357177734375,-945.6975708007812,547.0,10.0,-247.14732360839844,-320.6457214355469,186.467529296875
1000,-712.7109985351562,-925.6766967773438,527.0,10.0,-270.4255065917969,-350.89727783203125,203.494140625
1100,-731.9117431640625,-947.7005004882812,549.0,10.0,-293.49981689453125,-380.7374572753906,220.76943969726562
1200,-712.0576782226562,-908.8142700195312,510.0,10.0,-314.4277038574219,-407.14129638671875,235.23097229003906
1300,-555.53271484375,-704.79443359375,511.0,10.0,-326.48297119140625,-422.0239562988281,249.01942443847656
1400,-728.5747680664062,-947.7303466796875,549.0,10.0,-346.5875549316406,-448.30926513671875,264.0184631347656
1500,-749.2835693359375,-991.4671630859375,593.0,10.0,-366.72235107421875,-475.4671630859375,280.467529296875
1600,-737.2667846679688,-965.605712890625,567.0,10.0,-385.24957275390625,-499.9740905761719,294.7941589355469
1700,-724.8873291015625,-925.7335205078125,527.0,10.0,-402.2314453125,-521.2620849609375,306.4044494628906
1800,-77.81993865966797,-69.56586456298828,167.0,10.0,-395.94354248046875,-510.9419860839844,312.7149963378906
1900,-729.06005859375,-945.7284545898438,547.0,10.0,-412.599365234375,-532.6813354492188,324.42926025390625
2000,-763.2593383789062,-1010.4052734375,612.0,10.0,-430.1323547363281,-556.5675048828125,338.80780029296875
2100,-148.45127868652344,-153.60971069335938,187.0,10.0,-416.0483093261719,-536.4196166992188,331.2174072265625
2200,-535.555419921875,-639.6876220703125,514.0,10.0,-437.13262939453125,-561.2618408203125,350.8437194824219
2300,-745.3792724609375,-979.4990844726562,581.0,10.0,-452.5449523925781,-582.1737060546875,362.3515319824219
2400,70.23971557617188,75.19860076904297,78.0,10.0,-421.9295654296875,-540.7559814453125,347.8322448730469
2500,-471.2960205078125,-535.9950561523438,418.0,10.0,-410.8529357910156,-521.3670043945312,344.08111572265625
2600,-585.6980590820312,-790.4671630859375,597.0,10.0,-419.5951843261719,-534.822021484375,356.72705078125
2700,-570.927001953125,-714.75048828125,521.0,10.0,-427.1617736816406,-543.8184204101562,364.9407043457031
2800,-726.6607666015625,-938.7114868164062,540.0,10.0,-442.13671875,-563.5631103515625,373.69366455078125
2900,-259.80535888671875,-318.1856994628906,304.0,10.0,-433.0201416015625,-551.2942504882812,370.208984375
3000,-718.35791015625,-912.8023071289062,514.0,10.0,-447.28704833984375,-569.36962890625,377.3985290527344
3100,-563.8173828125,-663.8143920898438,490.0,10.0,-453.1135559082031,-574.0918579101562,383.0285949707031
3200,-521.4151000976562,-655.9451293945312,462.0,10.0,-456.52862548828125,-578.1845092773438,386.9771728515625
3300,-327.09759521484375,-408.24249267578125,330.0,10.0,-450.05706787109375,-569.6874389648438,384.1283264160156
3400,-102.35211944580078,-94.6067886352539,164.0,10.0,-446.1110534667969,-564.1194458007812,381.1907958984375
3500,-707.6865844726562,-893.8621826171875,495.0,10.0,-459.1898498535156,-580.6066284179688,386.8812561035156
3600,-563.8170166015625,-658.9909057617188,465.0,10.0,-464.42120361328125,-584.5258178710938,390.7872009277344
3700,-233.3166046142578,-279.365234375,277.0,10.0,-465.4064025878906,-585.8560791015625,391.94793701171875
3800,-725.6714477539062,-931.6767578125,533.0,10.0,-478.4196472167969,-603.1471557617188,399.00054931640625
3900,-720.065673828125,-926.7474975585938,528.0,10.0,-490.501953125,-619.3271484375,405.4505310058594
4000,-355.5841064453125,-401.15069580078125,347.0,10.0,-437.0820007324219,-549.4361572265625,374.98614501953125
4100,-85.51898193359375,-79.5948257446289,161.0,10.0,-419.5038757324219,-525.944091796875,364.2868347167969
4200,-721.9668579101562,-929.6837158203125,531.0,10.0,-434.62701416015625,-546.1310424804688,372.62249755859375
4300,-527.5363159179688,-689.7775268554688,496.0,10.0,-439.2724609375,-553.3133544921875,378.7913818359375
4400,-239.58384704589844,-253.28054809570312,267.0,10.0,-428.3822326660156,-536.25537109375,374.5892028808594
4500,-585.7440185546875,-712.7933349609375,519.0,10.0,-436.2503356933594,-545.082275390625,381.80975341796875
4600,-231.2395782470703,-276.4180603027344,266.0,10.0,-425.9997863769531,-531.6490478515625,376.0192565917969
4700,-81.26805114746094,-72.68053436279297,154.0,10.0,-415.0900573730469,-519.4320068359375,373.8473815917969
