step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
100,-713.5553588867188,-918.6966552734375,520.0,10.0,-35.67776870727539,-45.93483352661133,26.0
200,-732.6820678710938,-965.6217041015625,567.0,10.0,-70.52798461914062,-91.91917419433594,53.04999923706055
300,-173.9031982421875,-173.52987670898438,211.0,10.0,-75.69674682617188,-95.99971008300781,60.9474983215332
400,-761.0755004882812,-1010.391357421875,612.0,10.0,-109.96568298339844,-141.71929931640625,88.5001220703125
500,-450.9224548339844,-514.0429077148438,412.0,10.0,-127.01351928710938,-160.33547973632812,104.67511749267578
600,-725.12744140625,-943.747314453125,545.0,10.0,-156.91921997070312,-199.50607299804688,126.69136047363281
700,-748.2266845703125,-989.4920043945312,591.0,6.01997184753418,-186.48458862304688,-239.00537109375,149.90679931640625
800,-557.4086303710938,-694.5819702148438,541.0,6.01997184753418,-205.03079223632812,-261.7841796875,169.46145629882812
900,-539.27001953125,-709.6755981445312,532.0,37.84031677246094,-221.7427520751953,-284.17877197265625,187.58837890625
1000,-438.51763916015625,-514.9880981445312,413.0,101.71287536621094,-248.2939453125,-316.31683349609375,214.83851623535156
1100,-744.67529296875,-978.435302734375,580.0,101.71287536621094,-273.1130065917969,-349.4227294921875,233.09658813476562
1200,-715.586181640625,-919.8003540039062,521.0,101.71287536621094,-295.2366638183594,-377.9416198730469,247.49176025390625
1300,78.5936279296875,87.19161224365234,74.0,105.54273986816406,-283.0314636230469,-363.94256591796875,248.67381286621094
1400,-467.2065734863281,-536.9360961914062,435.0,105.54273986816406,-292.240234375,-372.59222412109375,257.9901123046875
1500,-479.6286315917969,-581.9659423828125,452.0,132.72633361816406,-301.6096496582031,-383.0609130859375,267.69061279296875
1600,-734.8094482421875,-959.6436767578125,561.0,132.72633361816406,-323.2696533203125,-411.8900451660156,282.3560791015625
1700,-749.8994750976562,-980.5449829101562,582.0,140.88909912109375,-344.60113525390625,-440.32281494140625,297.3382873535156
1800,-388.91864013671875,-433.0908508300781,371.0,140.88909912109375,-346.8170166015625,-439.9612121582031,301.0213623046875
1900,-102.72884368896484,-105.56986999511719,179.0,162.00816345214844,-346.31512451171875,-436.5791320800781,305.654296875
2000,-12.563715934753418,-3.6497249603271484,129.0,162.83738708496094,-340.6171875,-429.09332275390625,308.00048828125
2100,-448.76446533203125,-513.9998779296875,424.0,163.50799560546875,-346.0245361328125,-433.3386535644531,313.80047607421875
2200,-539.8343505859375,-647.7864379882812,494.0,163.50799560546875,-355.71502685546875,-444.06103515625,322.8104553222656
2300,-700.2950439453125,-868.0516357421875,469.0,163.50799560546875,-372.94403076171875,-465.2605895996094,330.11993408203125
2400,-550.1609497070312,-650.8831176757812,485.0,163.50799560546875,-381.80487060546875,-474.5417175292969,337.8639221191406
2500,-512.05810546875,-597.8214111328125,468.0,164.13600158691406,-398.10650634765625,-492.0201721191406,352.9747009277344
2600,-2.4570562839508057,6.273455619812012,115.0,171.65611267089844,-378.32403564453125,-467.1054992675781,341.0759582519531
2700,-577.4951171875,-726.70751953125,533.0,171.65611267089844,-388.2825927734375,-480.0856018066406,350.6721496582031
2800,-544.954833984375,-715.7266235351562,522.0,173.3404998779297,-396.1162109375,-491.8676452636719,359.2385559082031
2900,-610.7407836914062,-746.7682495117188,553.0,173.3404998779297,-406.8474426269531,-504.6126708984375,368.9266357421875
3000,-99.35785675048828,-108.57381439208984,182.0,173.3404998779297,-406.16326904296875,-503.9155578613281,366.186279296875
3100,-742.525146484375,-981.544921875,583.0,173.3404998779297,-422.9813537597656,-527.7969970703125,377.0269775390625
3200,-339.6572265625,-366.217529296875,324.0,173.71923828125,-418.2397766113281,-515.9898681640625,372.9493408203125
3300,-239.00596618652344,-246.39906311035156,260.0,173.71923828125,-400.40313720703125,-490.60809326171875,361.69927978515625
3400,-744.2381591796875,-971.5609130859375,573.0,173.71923828125,-417.5948791503906,-514.6557006835938,372.2643127441406
3500,-710.7946166992188,-913.8262329101562,515.0,173.80584716796875,-432.2548828125,-534.6142578125,379.4010925292969
3600,-612.2252197265625,-747.7034912109375,554.0,173.80584716796875,-441.2533874511719,-545.2687377929688,388.13104248046875
3700,-264.2995300292969,-312.24554443359375,298.0,173.80584716796875,-423.4320068359375,-522.0272216796875,378.8207702636719
3800,-525.4822387695312,-716.6995849609375,535.0,173.83079528808594,-428.5345153808594,-531.7608032226562,386.6297302246094
3900,-554.483642578125,-739.6845703125,546.0,173.8319091796875,-434.83197021484375,-542.1570434570312,394.5982360839844
4000,-314.4161682128906,-374.181640625,328.0,173.8319091796875,-415.2937927246094,-516.1478881835938,383.02239990234375
4100,-532.5786743164062,-703.84423828125,510.0,173.8319091796875,-421.15802001953125,-525.53271484375,389.37127685546875
4200,-746.4854125976562,-976.5639038085938,578.0,173.83224487304688,-437.4244079589844,-548.0842895507812,398.802734375
4300,88.3045654296875,89.17858123779297,64.0,173.83224487304688,-411.137939453125,-516.2211303710938,382.0625915527344
4400,-739.6766357421875,-954.587890625,556.0,173.83224487304688,-427.56488037109375,-538.1394653320312,390.75946044921875
4500,-516.6568603515625,-697.8243408203125,504.0,173.83224487304688,-432.01947021484375,-546.1237182617188,396.4214782714844
4600,-729.732421875,-935.70849609375,537.0,173.83224487304688,-446.9051208496094,-565.6029663085938,403.4504089355469
4700,-416.04193115234375,-476.083740234375,390.0,173.83224487304688,-447.3214416503906,-563.80712890625,404.7040100097656
4800,-283.4019470214844,-297.3003845214844,287.0,173.83224487304688,-439.1254577636719,-550.4818115234375,398.81878662109375
4900,-150.68331909179688,-150.4930419921875,204.0,172.46849060058594,-431.12371826171875,-537.7105712890625,395.261474609375
5000,-732.9124755859375,-941.6915893554688,543.0,172.46849060058594,-446.213134765625,-557.9096069335938,402.6484069824219
5100,-561.4889526367188,-662.8734130859375,469.0,172.46849060058594,-451.9769287109375,-563.1578369140625,405.9659729003906
5200,-217.12403869628906,-235.47303771972656,229.0,172.46849060058594,-440.2342834472656,-546.7735595703125,397.11767578125
5300,-327.6812438964844,-364.2963562011719,314.0,172.82833862304688,-447.6224060058594,-554.5618896484375,398.0386962890625
5400,-444.676513671875,-576.9600830078125,435.0,172.82833862304688,-447.47509765625,-555.6818237304688,399.88677978515625
5500,-619.6444091796875,-793.4979248046875,600.0,172.82833862304688,-456.08355712890625,-567.5726318359375,409.8924255371094
5600,37.43770217895508,46.15272521972656,83.0,172.82833862304688,-443.8179931640625,-554.1380615234375,399.347900390625
5700,-557.56396484375,-712.7753295898438,519.0,173.4448699951172,-449.5052795410156,-562.0699462890625,405.33050537109375
5800,-276.7820739746094,-325.1946716308594,307.0,173.4448699951172,-440.869140625,-550.2261962890625,400.41400146484375
