step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
100,-715.3270263671875,-923.6856689453125,525.0,10.0,-35.766353607177734,-46.18428039550781,26.25
200,-725.4996337890625,-939.6827392578125,541.0,10.0,-70.25301361083984,-90.85920715332031,51.98749923706055
300,-730.3453979492188,-936.7543334960938,538.0,10.0,-103.25763702392578,-133.15396118164062,76.28812408447266
400,-457.3731384277344,-526.7616577148438,445.0,10.0,-120.96340942382812,-152.8343505859375,94.72371673583984
500,-584.6985473632812,-727.7734375,534.0,10.0,-144.15016174316406,-181.581298828125,116.68753051757812
600,-751.90966796875,-989.5667114257812,591.0,10.0,-174.53814697265625,-221.98057556152344,140.4031524658203
700,-461.0828552246094,-525.9630126953125,428.0,10.0,-188.86537170410156,-237.1796875,154.7830047607422
800,-753.4383544921875,-1000.4043579101562,602.0,10.0,-217.09402465820312,-275.3409118652344,177.1438446044922
900,-708.0663452148438,-887.8522338867188,489.0,10.0,-241.64263916015625,-305.96649169921875,192.7366485595703
1000,-718.2526245117188,-916.8053588867188,518.0,10.0,-265.47314453125,-336.5084228515625,208.99981689453125
1100,-551.9526977539062,-714.7783813476562,521.0,10.0,-279.797119140625,-355.42193603515625,224.59983825683594
1200,-578.0323486328125,-698.6109619140625,529.0,10.0,-294.7088623046875,-372.5813903808594,239.81983947753906
1300,-705.28662109375,-895.8881225585938,497.0,10.0,-315.2377624511719,-398.7467346191406,252.67884826660156
1400,-746.1246948242188,-980.546875,582.0,10.0,-336.7821044921875,-427.83673095703125,269.1448974609375
1500,-588.9403076171875,-711.84619140625,518.0,10.0,-349.3900146484375,-442.0372009277344,281.587646484375
1600,23.63553237915039,32.247520446777344,105.0,10.0,-349.22039794921875,-443.3811340332031,286.50537109375
1700,80.08491516113281,88.16767120361328,69.0,10.0,-327.99066162109375,-415.1769104003906,278.88360595703125
1800,-101.947021484375,-98.64958953857422,168.0,10.0,-335.9223937988281,-425.30487060546875,286.8349304199219
1900,-482.0977783203125,-555.0159301757812,421.0,10.0,-343.2311706542969,-431.7904357910156,293.5431823730469
2000,-717.7073364257812,-927.7434692382812,529.0,87.58507537841797,-361.9549560546875,-456.58807373046875,305.3160400390625
2100,-183.6860809326172,-185.40614318847656,239.0,87.58507537841797,-355.7999267578125,-444.28118896484375,307.115234375
2200,-587.4835815429688,-722.6676635742188,541.0,87.58507537841797,-367.38409423828125,-458.20050048828125,318.8094482421875
2300,-701.2400512695312,-871.0426635742188,472.0,87.58507537841797,-384.076904296875,-478.8426208496094,326.468994140625
2400,-712.9107055664062,-909.84619140625,511.0,87.58507537841797,-400.5185852050781,-500.3927917480469,335.6955261230469
2500,-153.6279296875,-190.398193359375,236.0,87.58507537841797,-361.2432861328125,-449.62872314453125,316.81195068359375
2600,-514.1318359375,-609.850341796875,468.0,87.58507537841797,-368.8876953125,-457.6398010253906,324.3713684082031
2700,-584.9326171875,-739.6397705078125,546.0,87.58507537841797,-379.68994140625,-471.7397766113281,335.4527893066406
2800,-203.76527404785156,-172.88226318359375,448.0,87.58507537841797,-370.8937072753906,-456.7969055175781,341.0801696777344
2900,-725.2236328125,-921.8451538085938,523.0,106.18468475341797,-388.6101989746094,-480.04931640625,350.1761474609375
3000,-571.7213745117188,-681.9439697265625,488.0,106.18468475341797,-397.7657775878906,-490.14404296875,357.0673522949219
3100,-389.20587158203125,-437.080810546875,379.0,106.18468475341797,-397.3377685546875,-487.49090576171875,358.1639709472656
3200,-321.728515625,-343.36712646484375,301.0,106.18468475341797,-408.7598876953125,-501.7173156738281,363.9429931640625
3300,-563.5578002929688,-678.8851318359375,485.0,119.7911605834961,-416.4997863769531,-510.57568359375,369.995849609375
3400,-580.4113159179688,-761.5529174804688,568.0,119.7911605834961,-424.69537353515625,-523.1245727539062,379.89605712890625
3500,-752.3624267578125,-998.4600830078125,600.0,123.48580169677734,-441.0787048339844,-546.891357421875,390.9012451171875
3600,-574.2407836914062,-720.7244873046875,535.0,123.48580169677734,-447.73681640625,-555.5830078125,398.1061706542969
3700,-28.77338409423828,-25.615814208984375,139.0,123.48580169677734,-432.8808288574219,-535.8407592773438,390.1808166503906
3800,-81.72579193115234,-80.59075927734375,170.0,123.48580169677734,-415.3230895996094,-513.0782470703125,379.1717834472656
3900,-332.5370178222656,-344.57293701171875,560.0,123.48580169677734,-411.18377685546875,-504.6529846191406,388.21319580078125
4000,-382.07232666015625,-444.0439758300781,374.0,123.48580169677734,-417.1917724609375,-511.60284423828125,393.8099060058594
4100,-73.68933868408203,-68.61173248291016,162.0,123.48580169677734,-400.0166320800781,-489.4532775878906,382.21942138671875
4200,85.50360870361328,90.11380767822266,59.0,124.5429458618164,-382.3625183105469,-470.27886962890625,371.7480163574219
4300,-27.762435913085938,-17.698625564575195,123.0,124.59199523925781,-382.066650390625,-472.0294494628906,369.4400939941406
4400,-736.0446166992188,-950.5938720703125,552.0,124.59199523925781,-399.7655334472656,-495.9576721191406,378.5680847167969
4500,-533.739990234375,-711.8192749023438,518.0,124.59199523925781,-406.4642639160156,-506.750732421875,385.5396728515625
4600,-729.5696411132812,-935.7005004882812,537.0,124.59199523925781,-422.6195373535156,-528.1982421875,393.1127014160156
4700,-535.3652954101562,-689.8571166992188,496.0,124.59199523925781,-428.2568054199219,-536.2811889648438,398.2570495605469
4800,-181.79501342773438,-181.42913818359375,227.0,124.59199523925781,-422.5901794433594,-525.9300537109375,394.4320068359375
4900,-506.55694580078125,-594.8423461914062,457.0,124.59199523925781,-426.78851318359375,-529.3756713867188,397.5603942871094
5000,-96.25101470947266,-93.578857421875,171.0,124.60377502441406,-410.2616271972656,-507.5858154296875,386.2323913574219
5100,-724.366455078125,-925.788330078125,527.0,124.60377502441406,-425.9668884277344,-528.4959716796875,393.270751953125
