step,init_q,running_discounted_reward,running_reward,running_time
0,10.0,0.0,0.0,0.0
100,-2.814709186553955,-115.03411102294922,-127.58200073242188,9.920000076293945
200,-2.814709186553955,-229.78001403808594,-254.38499450683594,19.464000701904297
300,-2.814709186553955,-326.46368408203125,-359.70086669921875,28.00079917907715
400,-5.377651214599609,-424.3987121582031,-468.4956970214844,36.76076126098633
500,-5.887148380279541,-508.9808044433594,-561.3569946289062,44.28272247314453
600,-6.012925148010254,-596.937255859375,-658.8203125,52.37858581542969
700,-6.012925148010254,-671.4047241210938,-740.0115966796875,59.68965530395508
800,-6.012925148010254,-736.994384765625,-813.5435791015625,66.71517181396484
900,-21.734046936035156,-825.7155151367188,-909.7036743164062,72.34941864013672
1000,-21.92366600036621,-891.1383666992188,-980.5020141601562,78.29194641113281
1100,-21.92366600036621,-959.98388671875,-1056.1092529296875,84.10734558105469
1200,204.301513671875,-1019.9063720703125,-1122.787841796875,89.5019760131836
1300,230.22129821777344,-1084.649169921875,-1194.130859375,94.9268798828125
1400,230.22129821777344,-1137.1346435546875,-1253.158203125,99.83053588867188
1500,239.94541931152344,-1197.362060546875,-1318.68408203125,104.47901153564453
1600,242.61782836914062,-1244.2716064453125,-1369.9837646484375,109.00505828857422
1700,243.4495849609375,-1285.60791015625,-1414.7171630859375,113.50480651855469
1800,243.4497528076172,-1326.3780517578125,-1459.364990234375,117.4095687866211
1900,243.44976806640625,-1367.446533203125,-1504.33154296875,120.82908630371094
2000,243.45858764648438,-1403.99658203125,-1545.2493896484375,124.31763458251953
2100,243.4786834716797,-1433.166748046875,-1577.8697509765625,127.98175048828125
2200,243.4786834716797,-1466.8880615234375,-1614.86181640625,130.8626708984375
2300,243.48301696777344,-1514.213623046875,-1666.553955078125,133.60952758789062
2400,243.49758911132812,-1439.4500732421875,-1583.7716064453125,129.9890594482422
2500,243.49781799316406,-1472.624267578125,-1618.7176513671875,132.81959533691406
2600,243.49781799316406,-1504.0350341796875,-1652.2652587890625,135.77862548828125
2700,243.49781799316406,-1547.349853515625,-1699.387451171875,138.1396942138672
2800,243.49781799316406,-1591.1904296875,-1748.25244140625,140.6027069091797
2900,243.49781799316406,-1633.662841796875,-1795.1253662109375,143.03257751464844
3000,243.49781799316406,-1675.73876953125,-1840.20458984375,145.0509490966797
3100,243.49781799316406,-1693.573974609375,-1861.1766357421875,147.8983917236328
3200,243.49781799316406,-1718.405029296875,-1887.5057373046875,149.28347778320312
3300,243.49781799316406,-1736.5938720703125,-1906.31494140625,151.1593017578125
3400,243.49781799316406,-1750.255126953125,-1922.33251953125,153.371337890625
3500,243.49781799316406,-1778.370849609375,-1953.59814453125,155.78277587890625
3600,243.49781799316406,-1795.5828857421875,-1973.6029052734375,157.43362426757812
3700,243.49781799316406,-1817.1988525390625,-1995.85986328125,158.4519500732422
3800,243.49781799316406,-1826.6806640625,-2007.750244140625,160.1693572998047
3900,243.49781799316406,-1841.192138671875,-2024.4483642578125,161.4808807373047
4000,243.49781799316406,-1852.80908203125,-2038.8087158203125,163.4268341064453
4100,243.49781799316406,-1859.5372314453125,-2046.7509765625,164.9355010986328
4200,243.49781799316406,-1875.068603515625,-2063.548828125,166.0187225341797
4300,243.49781799316406,-1884.894287109375,-2072.804931640625,167.3077850341797
4400,243.49781799316406,-1907.2435302734375,-2096.597900390625,168.6324005126953
4500,243.49781799316406,-1920.376708984375,-2111.454345703125,169.24078369140625
4600,243.49781799316406,-1939.3919677734375,-2131.514892578125,170.5087432861328
4700,243.49781799316406,-1890.238525390625,-2074.631103515625,167.87330627441406
4800,243.49781799316406,-1905.05615234375,-2088.13525390625,168.629638671875
4900,243.49781799316406,-1842.2542724609375,-2015.3385009765625,166.08724975585938
5000,243.1983642578125,-1796.8270263671875,-1963.06201171875,164.0328826904297
5100,243.3325958251953,-1828.8726806640625,-1998.8443603515625,165.021240234375
5200,243.43319702148438,-1860.748291015625,-2033.438232421875,165.68017578125
5300,243.46722412109375,-1875.6119384765625,-2050.35205078125,166.41616821289062
5400,243.47824096679688,-1893.4501953125,-2068.421875,166.9153594970703
5500,243.47824096679688,-1919.28076171875,-2096.6865234375,167.7095947265625
5600,243.49447631835938,-1939.72119140625,-2119.585205078125,169.27410888671875
5700,243.49607849121094,-1905.12744140625,-2078.32958984375,166.764892578125
5800,243.49630737304688,-1916.3336181640625,-2091.197509765625,167.8866424560547
5900,243.49749755859375,-1925.411376953125,-2101.072265625,168.88230895996094
6000,243.49769592285156,-1888.533935546875,-2059.055908203125,167.898193359375
6100,243.497802734375,-1902.4698486328125,-2074.19091796875,168.22328186035156
6200,243.49781799316406,-1830.62890625,-1994.223388671875,164.61212158203125
6300,243.49781799316406,-1741.17578125,-1897.0347900390625,159.2804412841797
6400,243.49781799316406,-1729.9713134765625,-1883.8701171875,159.80641174316406
6500,412.3890380859375,-1751.2578125,-1906.6636962890625,160.71609497070312
6600,479.7510986328125,-1772.494873046875,-1930.0654296875,161.9302978515625
6700,501.2104797363281,-1788.5587158203125,-1947.4464111328125,163.11378479003906
6800,502.5497741699219,-1797.8494873046875,-1959.6077880859375,164.3680877685547
6900,511.7203369140625,-1789.7679443359375,-1947.561767578125,165.43968200683594
7000,521.239013671875,-1807.8056640625,-1968.0186767578125,166.4376983642578
7100,530.6870727539062,-1786.0369873046875,-1942.794921875,165.87152099609375
7200,556.875,-1803.766845703125,-1962.19287109375,166.38795471191406
7300,583.73779296875,-1746.001220703125,-1897.322998046875,163.7685546875
7400,588.691650390625,-1761.421630859375,-1915.240966796875,165.0401153564453
7500,588.691650390625,-1747.7615966796875,-1897.5675048828125,164.55812072753906
7600,590.7496337890625,-1767.8878173828125,-1919.3248291015625,165.36021423339844
7700,590.868896484375,-1789.150146484375,-1941.8447265625,166.09219360351562
7800,590.868896484375,-1804.2677001953125,-1960.1385498046875,166.96759033203125
7900,590.9151611328125,-1841.770263671875,-2001.267333984375,167.84921264648438
8000,590.9358520507812,-1771.8048095703125,-1922.7369384765625,165.04940795898438
8100,590.9413452148438,-1639.4737548828125,-1776.330810546875,156.18359375
8200,602.449951171875,-1572.1708984375,-1702.0574951171875,152.33441162109375
8300,608.876708984375,-1545.745849609375,-1669.868896484375,152.05380249023438
8400,613.01123046875,-1571.739990234375,-1699.6104736328125,153.6011199951172
8500,613.4722900390625,-1507.885986328125,-1628.5220947265625,150.25106811523438
8600,613.5391235351562,-1480.3897705078125,-1597.673583984375,148.8575897216797
8700,613.5427856445312,-1512.3663330078125,-1633.8260498046875,150.32470703125
8800,613.5446166992188,-1504.9537353515625,-1624.9205322265625,151.26846313476562
8900,614.464111328125,-1452.3763427734375,-1566.71728515625,148.36505126953125
9000,615.7396240234375,-1456.1280517578125,-1568.5313720703125,148.54295349121094
9100,616.006103515625,-1434.070556640625,-1543.0938720703125,147.81581115722656
9200,616.0894775390625,-1385.8638916015625,-1489.382568359375,144.8150177001953
