step,init_q,running_discounted_reward,running_reward,running_time
0,10.0,0.0,0.0,0.0
100,10.0,-142.81178283691406,-150.0,5.0
200,10.0,-278.48297119140625,-292.5,9.75
300,10.0,-391.3905029296875,-411.375,14.262499809265137
400,-13.91211223602295,-499.07855224609375,-524.3062744140625,18.549375534057617
500,-18.79034996032715,-616.9364013671875,-648.0909423828125,22.621906280517578
600,35.632564544677734,-713.5327758789062,-749.1864013671875,26.49081039428711
700,90.36264038085938,-820.6679077148438,-861.72705078125,30.166271209716797
800,143.4198455810547,-922.4462890625,-968.6407470703125,33.657955169677734
900,143.4198455810547,-1019.1357421875,-1070.208740234375,36.975059509277344
1000,172.03146362304688,-1110.99072265625,-1166.6982421875,40.126304626464844
1100,154.0387725830078,-1182.5738525390625,-1241.86328125,43.119991302490234
1200,157.06210327148438,-1250.1160888671875,-1313.2701416015625,45.963993072509766
1300,174.58291625976562,-1315.099609375,-1381.106689453125,48.66579055786133
1400,185.04620361328125,-1376.44580078125,-1445.55126953125,51.23250198364258
1500,186.50930786132812,-1435.4462890625,-1506.7738037109375,53.670875549316406
1600,186.51161193847656,-1491.285400390625,-1564.93505859375,55.98733139038086
1700,187.8722686767578,-1543.5528564453125,-1620.1883544921875,58.187965393066406
1800,188.22311401367188,-1609.18701171875,-1689.178955078125,60.278568267822266
1900,170.8536834716797,-1655.51123046875,-1738.219970703125,62.26464080810547
2000,169.3548126220703,-1699.615234375,-1784.8089599609375,64.15140533447266
2100,168.05108642578125,-1757.4462890625,-1845.5684814453125,65.94384002685547
2200,166.74766540527344,-1797.1396484375,-1886.7900390625,67.64664459228516
2300,165.98492431640625,-1777.6875,-1864.9505615234375,68.11431121826172
2400,165.53680419921875,-1716.1434326171875,-1799.2030029296875,67.05860137939453
2500,165.3751220703125,-1756.958740234375,-1842.742919921875,68.7056655883789
2600,165.30323791503906,-1811.922607421875,-1900.605712890625,70.2703857421875
2700,165.29812622070312,-1848.2696533203125,-1939.075439453125,71.75686645507812
2800,165.29673767089844,-1898.66796875,-1992.1217041015625,73.16902160644531
2900,165.2833251953125,-1930.1778564453125,-2026.015625,74.51057434082031
3000,165.2833251953125,-1960.8641357421875,-2058.21484375,75.78504180908203
3100,165.28228759765625,-2005.6326904296875,-2105.30419921875,76.99578857421875
3200,165.2816162109375,-2032.405029296875,-2133.538818359375,78.14600372314453
3300,165.28146362304688,-2057.680419921875,-2160.362060546875,79.23870086669922
3400,165.28146362304688,-2097.608154296875,-2202.34375,80.27676391601562
3500,165.28140258789062,-2135.53955078125,-2242.2265625,81.26292419433594
3600,165.28138732910156,-2155.87939453125,-2263.615234375,82.19978332519531
3700,159.99154663085938,-2174.626708984375,-2283.9345703125,83.08979034423828
3800,157.29721069335938,-2193.71826171875,-2303.23779296875,83.935302734375
3900,156.956787109375,-2211.180419921875,-2321.575927734375,84.73854064941406
4000,156.60337829589844,-2227.211669921875,-2338.9970703125,85.5016098022461
4100,152.69454956054688,-2242.4248046875,-2355.54736328125,86.22653198242188
4200,149.3852081298828,-2257.02294921875,-2371.27001953125,86.91520690917969
4300,147.31143188476562,-2270.614990234375,-2386.206298828125,87.56944274902344
4400,146.5609893798828,-2283.995849609375,-2400.39599609375,88.19097137451172
4500,146.28204345703125,-2296.385986328125,-2413.876220703125,88.78142547607422
4600,146.23077392578125,-2255.593994140625,-2369.5234375,87.92523193359375
4700,146.2256622314453,-2285.626220703125,-2401.047119140625,88.52896881103516
